,rec_id,semester,program,min_waitlisted_students
156,157,201970,EC-MS-TCOM,0
157,158,202010,EC-MS-AIT,0
158,159,202010,EC-MS-BIOE,0
159,160,202010,EC-MS-BSTA,0
160,161,202010,EC-MS-CEIE,0
161,162,202010,EC-MS-CPE,0
162,163,202010,EC-MS-CS,0
163,164,202010,EC-MS-DAEN,0
164,165,202010,EC-MS-ELEN,0
165,166,202010,EC-MS-ISA,0
166,167,202010,EC-MS-ISYS,0
167,168,202010,EC-MS-OPRS,0
168,169,202010,EC-MS-SWE,0
169,170,202010,EC-MS-SYST,0
170,171,202010,EC-MS-TCOM,0
171,172,201770,EC-MS-CEIE,34
172,173,201770,EC-MS-CPE,0
173,174,201770,EC-MS-CS,230
174,175,201770,EC-MS-DAEN,237
175,176,201770,EC-MS-ELEN,32
176,177,201770,EC-MS-SWE,0
177,178,201770,EC-MS-SYST,48
178,179,201810,EC-MS-AIT,636
179,180,201810,EC-MS-CPE,22
180,181,201810,EC-MS-CS,230
181,182,201810,EC-MS-DAEN,242
182,183,201810,EC-MS-OPRS,57
183,184,201870,EC-MS-AIT,0
184,185,201870,EC-MS-BSTA,0
185,186,201870,EC-MS-CEIE,0
186,187,201870,EC-MS-CS,0
187,188,201870,EC-MS-DAEN,0
188,189,201870,EC-MS-ELEN,0
189,190,201870,EC-MS-ISA,0
190,191,201870,EC-MS-STAT,0
191,192,201870,EC-MS-TCOM,23
192,193,201910,EC-MS-AIT,10
193,194,201910,EC-MS-CEIE,0
194,195,201910,EC-MS-CPE,0
195,196,201910,EC-MS-CS,0
196,197,201910,EC-MS-DAEN,191
197,198,201910,EC-MS-ELEN,0
198,199,201910,EC-MS-ISA,0
199,200,201910,EC-MS-OPRS,0
200,201,201910,EC-MS-STAT,0
201,202,201910,EC-MS-SWE,0
202,203,201970,EC-MS-AIT,0
203,204,201970,EC-MS-CEIE,0
204,205,201970,EC-MS-CPE,0
205,206,201970,EC-MS-CS,0
206,207,201970,EC-MS-DAEN,0
207,208,201970,EC-MS-ELEN,0
208,209,201970,EC-MS-ISA,0
209,210,201970,EC-MS-OPRS,0
210,211,201970,EC-MS-STAT,0
211,212,201970,EC-MS-SWE,0
212,213,201970,EC-MS-SYST,0
213,214,201970,EC-MS-TCOM,0
214,215,202010,EC-MS-AIT,0
215,216,202010,EC-MS-BIOE,0
216,217,202010,EC-MS-BSTA,0
217,218,202010,EC-MS-CEIE,0
218,219,202010,EC-MS-CPE,0
219,220,202010,EC-MS-CS,0
220,221,202010,EC-MS-DAEN,0
221,222,202010,EC-MS-ELEN,0
222,223,202010,EC-MS-ISA,0
223,224,202010,EC-MS-ISYS,0
224,225,202010,EC-MS-OPRS,0
225,226,202010,EC-MS-SWE,0
226,227,202010,EC-MS-SYST,0
227,228,202010,EC-MS-TCOM,0
228,229,202070,EC-MS-AIT,0
229,230,202070,EC-MS-BIOE,0
230,231,202070,EC-MS-BSTA,0
231,232,202070,EC-MS-CEIE,0
232,233,202070,EC-MS-CPE,0
233,234,202070,EC-MS-CS,0
234,235,202070,EC-MS-DAEN,0
235,236,202070,EC-MS-ELEN,0
236,237,202070,EC-MS-ISA,0
237,238,202070,EC-MS-ISYS,0
238,239,202070,EC-MS-OPRS,0
239,240,202070,EC-MS-STAT,0
240,241,202070,EC-MS-SWE,0
241,242,202070,EC-MS-SYST,0
242,243,202070,EC-MS-TCOM,0
243,244,201770,EC-MS-CEIE,34
244,245,201770,EC-MS-CPE,0
245,246,201770,EC-MS-CS,230
246,247,201770,EC-MS-DAEN,237
247,248,201770,EC-MS-ELEN,32
248,249,201770,EC-MS-SWE,0
249,250,201770,EC-MS-SYST,48
250,251,201810,EC-MS-AIT,636
251,252,201810,EC-MS-CPE,22
252,253,201810,EC-MS-CS,230
253,254,201810,EC-MS-DAEN,242
254,255,201810,EC-MS-OPRS,57
255,256,201870,EC-MS-AIT,0
256,257,201870,EC-MS-BSTA,0
257,258,201870,EC-MS-CEIE,0
258,259,201870,EC-MS-CS,0
259,260,201870,EC-MS-DAEN,0
260,261,201870,EC-MS-ELEN,0
261,262,201870,EC-MS-ISA,0
262,263,201870,EC-MS-STAT,0
263,264,201870,EC-MS-TCOM,23
264,265,201910,EC-MS-AIT,10
265,266,201910,EC-MS-CEIE,0
266,267,201910,EC-MS-CPE,0
267,268,201910,EC-MS-CS,0
268,269,201910,EC-MS-DAEN,191
269,270,201910,EC-MS-ELEN,0
270,271,201910,EC-MS-ISA,0
271,272,201910,EC-MS-OPRS,0
272,273,201910,EC-MS-STAT,0
273,274,201910,EC-MS-SWE,0
274,275,201970,EC-MS-AIT,0
275,276,201970,EC-MS-CEIE,0
276,277,201970,EC-MS-CPE,0
277,278,201970,EC-MS-CS,0
278,279,201970,EC-MS-DAEN,0
279,280,201970,EC-MS-ELEN,0
280,281,201970,EC-MS-ISA,0
281,282,201970,EC-MS-OPRS,0
282,283,201970,EC-MS-STAT,0
283,284,201970,EC-MS-SWE,0
284,285,201970,EC-MS-SYST,0
285,286,201970,EC-MS-TCOM,0
286,287,202010,EC-MS-AIT,0
287,288,202010,EC-MS-BIOE,0
288,289,202010,EC-MS-BSTA,0
289,290,202010,EC-MS-CEIE,0
290,291,202010,EC-MS-CPE,0
291,292,202010,EC-MS-CS,0
292,293,202010,EC-MS-DAEN,0
293,294,202010,EC-MS-ELEN,0
294,295,202010,EC-MS-ISA,0
295,296,202010,EC-MS-ISYS,0
296,297,202010,EC-MS-OPRS,0
297,298,202010,EC-MS-SWE,0
298,299,202010,EC-MS-SYST,0
299,300,202010,EC-MS-TCOM,0
300,301,202070,EC-MS-AIT,0
301,302,202070,EC-MS-BIOE,0
302,303,202070,EC-MS-BSTA,0
303,304,202070,EC-MS-CEIE,0
304,305,202070,EC-MS-CPE,0
305,306,202070,EC-MS-CS,0
306,307,202070,EC-MS-DAEN,0
307,308,202070,EC-MS-ELEN,0
308,309,202070,EC-MS-ISA,0
309,310,202070,EC-MS-ISYS,0
310,311,202070,EC-MS-OPRS,0
311,312,202070,EC-MS-STAT,0
312,313,202070,EC-MS-SWE,0
313,314,202070,EC-MS-SYST,0
314,315,202070,EC-MS-TCOM,0
315,316,202110,EC-MS-AIT,0
316,317,202110,EC-MS-BIOE,0
317,318,202110,EC-MS-BSTA,0
318,319,202110,EC-MS-CEIE,0
319,320,202110,EC-MS-CPE,0
320,321,202110,EC-MS-CS,0
321,322,202110,EC-MS-CYSE,0
322,323,202110,EC-MS-DAEN,0
323,324,202110,EC-MS-ELEN,0
324,325,202110,EC-MS-ISA,0
325,326,202110,EC-MS-ISYS,0
326,327,202110,EC-MS-OPRS,0
327,328,202110,EC-MS-STAT,0
328,329,202110,EC-MS-SWE,0
329,330,202110,EC-MS-SYST,0
330,331,202110,EC-MS-TCOM,0
331,332,201770,EC-MS-CEIE,34
332,333,201770,EC-MS-CPE,0
333,334,201770,EC-MS-CS,230
334,335,201770,EC-MS-DAEN,237
335,336,201770,EC-MS-ELEN,32
336,337,201770,EC-MS-SWE,0
337,338,201770,EC-MS-SYST,48
338,339,201810,EC-MS-AIT,636
339,340,201810,EC-MS-CPE,22
340,341,201810,EC-MS-CS,230
341,342,201810,EC-MS-DAEN,242
342,343,201810,EC-MS-OPRS,57
343,344,201870,EC-MS-AIT,0
344,345,201870,EC-MS-BSTA,0
345,346,201870,EC-MS-CEIE,0
346,347,201870,EC-MS-CS,0
347,348,201870,EC-MS-DAEN,0
348,349,201870,EC-MS-ELEN,0
349,350,201870,EC-MS-ISA,0
350,351,201870,EC-MS-STAT,0
351,352,201870,EC-MS-TCOM,23
352,353,201910,EC-MS-AIT,10
353,354,201910,EC-MS-CEIE,0
354,355,201910,EC-MS-CPE,0
355,356,201910,EC-MS-CS,0
356,357,201910,EC-MS-DAEN,191
357,358,201910,EC-MS-ELEN,0
358,359,201910,EC-MS-ISA,0
359,360,201910,EC-MS-OPRS,0
360,361,201910,EC-MS-STAT,0
361,362,201910,EC-MS-SWE,0
362,363,201970,EC-MS-AIT,0
363,364,201970,EC-MS-CEIE,0
364,365,201970,EC-MS-CPE,0
365,366,201970,EC-MS-CS,0
366,367,201970,EC-MS-DAEN,0
367,368,201970,EC-MS-ELEN,0
368,369,201970,EC-MS-ISA,0
369,370,201970,EC-MS-OPRS,0
370,371,201970,EC-MS-STAT,0
371,372,201970,EC-MS-SWE,0
372,373,201970,EC-MS-SYST,0
